sample-id	input	filtered	percentage of input passed filter	denoised	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric
1939.SKBTI.0127	61033	58302	95.53	58231	52598	86.18
1939.SKBTI.0128	49840	47309	94.92	47237	46605	93.51
1939.SKBTI.0129	35532	33866	95.31	33823	33283	93.67
1939.SKBTI.0130	57960	54423	93.9	54325	52597	90.75
1939.SKBTI.0131	68924	65275	94.71	65187	62782	91.09
1939.SKBTI.0132	47805	43273	90.52	43172	40739	85.22
1939.SKBTI.0133	42476	40106	94.42	40006	39360	92.66
1939.SKBTI.0134.a	107757	98038	90.98	97970	97495	90.48
1939.SKBTI.0134.b	12017	11404	94.9	11390	11371	94.62
1939.SKBTI.0135	475815	436173	91.67	435702	428539	90.06
1939.SKBTI.0136.a	41077	38398	93.48	38313	36585	89.06
1939.SKBTI.0136.b	10150	9685	95.42	9671	9400	92.61
1939.SKBTI.0137	100304	94409	94.12	94275	88570	88.3
1939.SKBTI.0138	91888	86447	94.08	86282	81041	88.2
1939.SKBTI.0139	39254	37217	94.81	37189	36636	93.33
1939.SKBTI.0140	7028	6598	93.88	6581	5899	83.94
1939.SKBTI.0141.a	62391	56038	89.82	55960	55142	88.38
1939.SKBTI.0141.b	16359	15351	93.84	15326	15150	92.61
1939.SKBTI.0142	31287	29881	95.51	29850	28354	90.63
1939.SKBTI.0143.a	77814	69755	89.64	69574	67126	86.26
1939.SKBTI.0143.b	22030	20853	94.66	20828	20234	91.85
1939.SKBTI.0144	50239	47412	94.37	47318	42832	85.26
1939.SKBTI.0145	36496	34380	94.2	34320	28988	79.43
1939.SKBTI.0146	1359	1234	90.8	1216	1208	88.89
1939.SKBTI.0147	30840	29038	94.16	29004	28476	92.33
1939.SKBTI.0148	79735	74918	93.96	74810	71054	89.11
1939.SKBTI.0149	59800	57390	95.97	57298	56957	95.25
1939.SKBTI.0150.a	17608	16194	91.97	16135	15432	87.64
1939.SKBTI.0150.b	6419	5999	93.46	5990	5741	89.44
1939.SKBTI.0151	63282	59441	93.93	59369	58424	92.32
1939.SKBTI.0152	80346	76139	94.76	76025	73622	91.63
1939.SKBTI.0153	74788	71190	95.19	71146	66707	89.19
1939.SKBTI.0154.a	20878	19287	92.38	19253	19171	91.82
1939.SKBTI.0154.b	15639	14831	94.83	14801	14753	94.33
1939.SKBTI.0155	100115	96032	95.92	95825	90280	90.18
1939.SKBTI.0156	97152	92267	94.97	92134	87127	89.68
1939.SKBTI.0157.a	13708	13118	95.7	13080	12896	94.08
1939.SKBTI.0157.b	17991	17295	96.13	17261	16784	93.29
1939.SKBTI.0158	63303	60382	95.39	60313	58768	92.84
1939.SKBTI.0159	22735	21839	96.06	21812	21485	94.5
