species_tax_id,superkingdom,phylum,class,order,family,genus,species,motility,metabolism,cell_shape,substrate,pathways
109790,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,jensenii,NA,NA,NA,"cellobiose, lactate, maltose, mannitol, ribose, sucrose, trehalose",esculin_aesculin_hydrolysis
33959,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,johnsonii,NA,facultative anaerobic,NA,"cellobiose, dextrin, fructose, galactose, glucose, lactose, maltose, mannose, melibiose, raffinose, salicin, sucrose, trehalose",esculin_aesculin_hydrolysis
227944,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,kalixensis,yes,facultative anaerobic,NA,"cellobiose, fructose, galactose, glucose, lactose, maltose, mannitol, mannose, melibiose, N_acetylglucosamine, raffinose, salicin, starch, sucrose, trehalose",esculin_aesculin_hydrolysis
267818,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,kefiranofaciens,yes,facultative anaerobic,NA,"galactose, lactose, malonate, melibiose, raffinose, sucrose",NA
481722,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,kisonensis,yes,facultative anaerobic,NA,"arabinose, arginine, glucose, maltose, ribose, sucrose, xylose","esculin_aesculin_hydrolysis, ammonia_synthesis"
29397,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,lactis,yes,facultative anaerobic,coccus,"cellobiose, fructose, galactose, lactose, maltose, mannose, ribose, salicin, trehalose",ammonia_synthesis
1632,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,oris,yes,facultative anaerobic,NA,"arabinose, arabitol, arginine, cellobiose, fructose, galactose, gluconate, glucose, lactose, maltose, mannose, melibiose, N_acetylglucosamine, raffinose, ribose, salicin, sucrose, trehalose, urea, xylose","urease, esculin_aesculin_hydrolysis, ammonia_synthesis"
47493,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,panis,yes,obligate anaerobic,NA,"acetate, arabinose, citrate, fructose, galactose, gluconate, glucose, lactose, maltose, mannose, melibiose, raffinose, ribose, salicin, sucrose, Tween_80, xylose, yeast_extract",esculin_aesculin_hydrolysis
152331,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,parabuchneri,yes,NA,NA,"arabinose, arginine, galactose, maltose, melibiose, raffinose, ribose, sucrose",NA
1597,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,paracasei,NA,facultative anaerobic,NA,NA,NA
390842,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,parafarraginis,yes,facultative anaerobic,NA,"galactose, gluconate, maltose, mannitol, melibiose, raffinose, ribose, sucrose, xylose",NA
60520,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,paraplantarum,yes,facultative anaerobic,NA,"arabinose, cellobiose, fructose, galactose, gluconate, glucose, lactose, maltose, mannitol, mannose, melibiose, N_acetylglucosamine, raffinose, ribose, salicin, sorbitol, sucrose, trehalose",esculin_aesculin_hydrolysis
1589,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,pentosus,yes,facultative anaerobic,NA,"arabinose, cellobiose, fructose, galactose, gluconate, glucose, glycerol, lactose, maltose, mannitol, mannose, melibiose, N_acetylglucosamine, raffinose, ribose, salicin, sorbitol, sucrose, trehalose, xylose",esculin_aesculin_hydrolysis
1590,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,plantarum,yes,facultative anaerobic,NA,"arabinose, cellobiose, gluconate, mannitol, melibiose, raffinose, ribose, sorbitol, sucrose, xylose",esculin_aesculin_hydrolysis
481723,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,rapi,yes,facultative anaerobic,NA,"arabinose, arginine, fructose, gluconate, glucose, maltose, melibiose, raffinose, ribose, sucrose, xylose, 5_ketogluconate","esculin_aesculin_hydrolysis, ammonia_synthesis"
238013,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,rennini,yes,facultative anaerobic,NA,"arabinose, fructose, galactose, glucose, mannose, N_acetylglucosamine, rhamnose, ribose, sorbitol, starch, trehalose, xylose",NA
1598,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,reuteri,yes,facultative anaerobic,NA,"arabinose, arginine, galactose, maltose, melibiose, raffinose, ribose, sucrose",ammonia_synthesis
